tmdb_id,title,release_date,budget,runtime,genres,popularity,vote_average,vote_count,production_companies,directors,cast,imdb_id,mpaa_rating,collection_id,lead_actor_1_name,lead_actor_1_id,lead_actor_1_character,lead_actor_2_name,lead_actor_2_id,lead_actor_2_character,opening_weekend_domestic
27205,Inception,15/7/10,160000000,148,"['Action', 'Science Fiction', 'Adventure']",28.7672,8.371,38348,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page']",tt1375666,PG-13,,Leonardo DiCaprio,6193,Dom Cobb,Joseph Gordon-Levitt,24045,Arthur,62785337
38757,Tangled,24/11/10,260000000,100,"['Animation', 'Family', 'Adventure']",19.6633,7.609,12035,"['Walt Disney Animation Studios', 'Walt Disney Pictures']","['Nathan Greno', 'Byron Howard']","['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman', 'M.C. Gainey']",tt0398286,PG,1268789,Mandy Moore,16855,Rapunzel (voice),Zachary Levi,69899,Flynn Rider (voice),48767052
10138,Iron Man 2,28/4/10,200000000,124,"['Adventure', 'Action', 'Science Fiction']",20.4443,6.848,21880,"['Marvel Studios', 'Fairview Entertainment', 'Marvel Entertainment']",['Jon Favreau'],"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell']",tt1228705,PG-13,131292,Robert Downey Jr.,3223,Tony Stark,Gwyneth Paltrow,12052,Pepper Potts,128122480
12444,Harry Potter and the Deathly Hallows: Part 1,17/11/10,250000000,146,"['Adventure', 'Fantasy']",22.8114,7.738,19914,"['Warner Bros. Pictures', 'Heyday Films']",['David Yates'],"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Toby Jones', 'Helena Bonham Carter']",tt0926084,PG-13,1241,Daniel Radcliffe,10980,Harry Potter,Emma Watson,10990,Hermione Granger,125017372
32657,Percy Jackson & the Olympians: The Lightning Thief,1/2/10,95000000,118,"['Adventure', 'Fantasy', 'Family']",17.7526,6.211,7683,"['1492 Pictures', 'Sunswept Entertainment', 'Dune Entertainment']",['Chris Columbus'],"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Jake Abel', 'Pierce Brosnan']",tt0814255,PG,179919,Logan Lerman,33235,Percy Jackson,Brandon T. Jackson,53336,Grover Underwood,31236067
10191,How to Train Your Dragon,18/3/10,165000000,98,"['Fantasy', 'Adventure', 'Animation', 'Family']",36.4084,7.854,13924,['DreamWorks Animation'],"['Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill']",tt0892769,PG,89137,Jay Baruchel,449,Hiccup (voice),Gerard Butler,17276,Stoick (voice),43732319
10192,Shrek Forever After,20/5/10,165000000,93,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",11.8167,6.391,7738,['DreamWorks Animation'],['Mike Mitchell'],"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Walt Dohrn']",tt0892791,PG,2150,Mike Myers,12073,Shrek (voice),Eddie Murphy,776,Donkey (voice),70838207
10193,Toy Story 3,16/6/10,200000000,102,"['Animation', 'Family', 'Comedy']",15.1961,7.803,15321,['Pixar'],['Lee Unkrich'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Don Rickles', 'Wallace Shawn']",tt0435761,G,10194,Tom Hanks,31,Woody (voice),Tim Allen,12898,Buzz Lightyear (voice),110307189
11324,Shutter Island,14/2/10,80000000,138,"['Drama', 'Thriller', 'Mystery']",15.7405,8.201,25130,"['Paramount Pictures', 'Phoenix Pictures', 'Sikelia Productions', 'Appian Way']",['Martin Scorsese'],"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams']",tt1130884,,,Leonardo DiCaprio,6193,Teddy Daniels,Mark Ruffalo,103,Chuck Aule,41062440
20526,TRON: Legacy,14/12/10,170000000,126,"['Adventure', 'Action', 'Science Fiction']",12.481,6.531,7649,"['Walt Disney Pictures', 'Sean Bailey Productions']",['Joseph Kosinski'],"['Garrett Hedlund', 'Olivia Wilde', 'Jeff Bridges', 'Bruce Boxleitner', 'James Frain']",tt1104001,PG,63043,Garrett Hedlund,9828,Sam Flynn,Olivia Wilde,59315,Quorra,44026211
12155,Alice in Wonderland,3/3/10,200000000,108,"['Family', 'Fantasy', 'Adventure']",12.9522,6.636,14488,"['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']",['Tim Burton'],"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover']",tt1014759,PG,261307,Mia Wasikowska,76070,Alice Kingsleigh,Johnny Depp,85,Tarrant Hightopp / Mad Hatter,116101023
33217,Diary of a Wimpy Kid,19/3/10,15000000,92,"['Comedy', 'Family']",10.9585,6.259,1712,"['Dayday Films', 'Color Force', 'Dune Entertainment', 'Fox 2000 Pictures']",['Thor Freudenthal'],"['Zachary Gordon', 'Robert Capron', 'Steve Zahn', 'Devon Bostick', 'Rachael Harris']",tt1196141,PG,86110,Zachary Gordon,89819,Greg Heffley,Robert Capron,111922,Rowley Jefferson,22126166
34851,Predators,7/7/10,40000000,107,"['Science Fiction', 'Action', 'Thriller']",11.6304,6.294,4428,"['Davis Entertainment', '20th Century Fox', 'Dune Entertainment', 'Troublemaker Studios']",['Nimród Antal'],"['Adrien Brody', 'Topher Grace', 'Alice Braga', 'Walton Goggins', 'Oleg Taktarov']",tt1424381,R,399,Adrien Brody,3490,Royce,Topher Grace,17052,Edwin,24760882
20352,Despicable Me,8/7/10,69000000,95,"['Family', 'Comedy', 'Animation', 'Science Fiction']",10.7934,7.253,15707,"['Illumination', 'Universal Pictures']","['Pierre Coffin', 'Chris Renaud']","['Steve Carell', 'Jason Segel', 'Miranda Cosgrove', 'Dana Gaier', 'Elsie Fisher']",tt1323594,,86066,Steve Carell,4495,Gru (voice),Jason Segel,41088,Vector (voice),56397125
35019,Nanny McPhee and the Big Bang,26/3/10,35000000,109,"['Comedy', 'Fantasy', 'Family']",12.629,6.3,1901,"['Three Strange Angels', 'Relativity Media', 'Working Title Films', 'StudioCanal', 'Universal Pictures']",['Susanna White'],"['Emma Thompson', 'Asa Butterfield', 'Lil Woods', 'Oscar Steer', 'Rosie Taylor-Ritson']",tt1415283,PG,35792,Emma Thompson,7056,Nanny McPhee,Asa Butterfield,77996,Norman Green,8407685
38365,Grown Ups,24/6/10,80000000,102,['Comedy'],10.2206,6.4,6470,"['Columbia Pictures', 'Relativity Media', 'Happy Madison Productions']",['Dennis Dugan'],"['Adam Sandler', 'Kevin James', 'Chris Rock', 'David Spade', 'Rob Schneider']",tt1375670,PG-13,180546,Adam Sandler,19292,Lenny Feder,Kevin James,32895,Eric Lamonsoff,40506562
37799,The Social Network,1/10/10,40000000,121,['Drama'],14.948,7.371,12776,"['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",['David Fincher'],"['Jesse Eisenberg', 'Andrew Garfield', 'Armie Hammer', 'Josh Pence', 'Justin Timberlake']",tt1285016,,1504252,Jesse Eisenberg,44735,Mark Zuckerberg,Andrew Garfield,37625,Eduardo Saverin,22445653
49953,A Turtle's Tale: Sammy's Adventures,4/8/10,0,88,"['Animation', 'Family']",8.196,6.028,670,"['Motion Investment Group', 'nWave Pictures', 'Illuminata Pictures', 'StudioCanal', 'Around the World in 50 Years']",['Ben Stassen'],"['Yuri Lowenthal', 'Gemma Arterton', 'Isabelle Fuhrman', 'Melanie Griffith', 'Tim Curry']",tt1230204,G,166844,Yuri Lowenthal,127387,Young Sammy (voice),Gemma Arterton,59620,Shelly (voice),3515577
23483,Kick-Ass,26/3/10,28000000,118,"['Action', 'Crime']",8.797,7.122,12092,"['Marv', 'Plan B Entertainment', 'Mandate Pictures', 'Lionsgate']",['Matthew Vaughn'],"['Aaron Taylor-Johnson', 'Chloë Grace Moretz', 'Nicolas Cage', 'Lyndsy Fonseca', 'Mark Strong']",tt1250777,R,179892,Aaron Taylor-Johnson,27428,Dave Lizewski / Kick-Ass,Chloë Grace Moretz,56734,Mindy Macready / Hit Girl,19828687
41216,Legend of the Guardians: The Owls of Ga'Hoole,10/7/10,80000000,97,"['Animation', 'Adventure', 'Family', 'Fantasy']",7.6834,6.822,2405,"['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Animal Logic', 'GOG Productions']",['Zack Snyder'],"['Jim Sturgess', 'Ryan Kwanten', 'Hugo Weaving', 'Helen Mirren', 'Geoffrey Rush']",tt1219342,PG,,Jim Sturgess,38941,Soren (voice),Ryan Kwanten,133212,Kludd (voice),16112211
38031,You Will Meet a Tall Dark Stranger,22/9/10,22000000,98,"['Comedy', 'Drama', 'Romance']",8.1337,5.912,885,"['Versátil Cinema', 'Gravier Productions', 'Atresmedia', 'Dippermouth', 'Mediapro']",['Woody Allen'],"['Antonio Banderas', 'Josh Brolin', 'Anthony Hopkins', 'Gemma Jones', 'Freida Pinto']",tt1182350,R,,Antonio Banderas,3131,Greg,Josh Brolin,16851,Roy,160103
44214,Black Swan,3/12/10,13000000,108,"['Drama', 'Thriller', 'Horror']",8.2367,7.686,15174,"['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures', 'Dune Entertainment']",['Darren Aronofsky'],"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel', 'Barbara Hershey', 'Winona Ryder']",tt0947798,,,Natalie Portman,524,Nina Sayers / The Swan Queen,Mila Kunis,18973,Lily / The Black Swan,1443809
39781,The Kids Are All Right,9/7/10,3500000,106,"['Comedy', 'Drama']",6.2292,6.613,1547,"['Focus Features', 'Mandalay Vision', '10th Hole Productions', 'Gilbert Films', 'Saint Aire Production', 'Artist International', 'Antidote Films', 'Artist International Management']",['Lisa Cholodenko'],"['Julianne Moore', 'Annette Bening', 'Mark Ruffalo', 'Mia Wasikowska', 'Josh Hutcherson']",tt0842926,,,Julianne Moore,1231,Jules,Annette Bening,516,Nic,491971
18823,Clash of the Titans,26/3/10,125000000,106,"['Adventure', 'Fantasy', 'Action']",8.9804,5.9,6519,"['The Zanuck Company', 'Legendary Pictures', 'Thunder Road', 'Moving Picture Company', 'Warner Bros. Pictures']",['Louis Leterrier'],"['Sam Worthington', 'Gemma Arterton', 'Mads Mikkelsen', 'Alexa Davalos', 'Jason Flemyng']",tt0800320,PG-13,86780,Sam Worthington,65731,Perseus,Gemma Arterton,59620,Io,61235105
48289,The Debt,30/9/10,20000000,113,"['Drama', 'Thriller']",7.6998,6.569,929,"['Pioneer Pictures', 'Miramax', 'Marv']",['John Madden'],"['Helen Mirren', 'Tom Wilkinson', 'Sam Worthington', 'Ciarán Hinds', 'Jessica Chastain']",tt1226753,R,,Helen Mirren,15735,Rachel Singer,Tom Wilkinson,207,Stefan Gold,9909499
27581,The Other Guys,6/8/10,100000000,107,"['Comedy', 'Action']",9.1495,6.319,4412,"['Columbia Pictures', 'Gary Sanchez Productions', 'Mosaic Media Group']",['Adam McKay'],"['Will Ferrell', 'Mark Wahlberg', 'Eva Mendes', 'Michael Keaton', 'Steve Coogan']",tt1386588,,,Will Ferrell,23659,Detective Allen Gamble,Mark Wahlberg,13240,Detective Terry Hoitz,35543162
43593,Piranha 3D,20/8/10,24000000,88,"['Comedy', 'Horror']",7.5131,5.409,2330,"['Atmosphere Entertainment MM', 'Chako Film Company', 'Dimension Films', 'Aja / Levasseur Productions']",['Alexandre Aja'],"['Elisabeth Shue', ""Jerry O'Connell"", 'Steven R. McQueen', 'Jessica Szohr', 'Kelly Brook']",tt0464154,R,104830,Elisabeth Shue,1951,Julie Forester,Jerry O'Connell,3035,Derrick Jones,10106872
22971,Dear John,4/2/10,25000000,108,"['Drama', 'Romance', 'War']",8.2441,6.846,4231,"['Screen Gems', 'Relativity Media', 'Temple Hill Entertainment']",['Lasse Hallström'],"['Amanda Seyfried', 'Channing Tatum', 'Richard Jenkins', 'Henry Thomas', 'D.J. Cotrona']",tt0989757,PG-13,,Amanda Seyfried,71070,Savannah Lynn Curtis,Channing Tatum,38673,John Tyree,30468614
38055,Megamind,28/10/10,130000000,96,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",7.7907,7.014,7238,"['DreamWorks Animation', 'Pacific Data Images']",['Tom McGrath'],"['Will Ferrell', 'Brad Pitt', 'Tina Fey', 'Jonah Hill', 'David Cross']",tt1001526,PG,1239518,Will Ferrell,23659,Megamind (voice),Brad Pitt,287,Metro Man (voice),46016833
38575,The Karate Kid,10/6/10,40000000,140,"['Action', 'Adventure', 'Drama', 'Family']",9.1483,6.564,6381,"['Jerry Weintraub Productions', 'Columbia Pictures', 'Overbrook Entertainment', 'China Film Group Corporation', 'Emperor Motion Pictures']",['Harald Zwart'],"['Jaden Smith', 'Jackie Chan', 'Taraji P. Henson', 'Wenwen Han', 'Zac Wang']",tt1155076,PG,8580,Jaden Smith,120724,Dre Parker,Jackie Chan,18897,Mr. Han,55665805
23437,A Nightmare on Elm Street,30/4/10,35000000,95,"['Horror', 'Mystery', 'Thriller']",8.7386,5.5,2836,"['Platinum Dunes', 'New Line Cinema']",['Samuel Bayer'],"['Rooney Mara', 'Kyle Gallner', 'Jackie Earle Haley', 'Katie Cassidy', 'Thomas Dekker']",tt1179056,R,,Rooney Mara,108916,Nancy Holbrook,Kyle Gallner,59219,Quentin Smith,32902299
42888,How Do You Know,17/12/10,120000000,121,"['Comedy', 'Drama', 'Romance']",5.6973,5.324,1027,"['Columbia Pictures', 'Gracie Films', 'Road Rebel']",['James L. Brooks'],"['Reese Witherspoon', 'Paul Rudd', 'Owen Wilson', 'Jack Nicholson', 'Kathryn Hahn']",tt1341188,PG-13,,Reese Witherspoon,368,Lisa Jorgenson,Paul Rudd,22226,George,7484696
23168,The Town,15/9/10,37000000,125,"['Crime', 'Drama', 'Thriller']",7.2944,7.215,5390,"['Legendary Pictures', 'GK Films', 'Thunder Road', 'Warner Bros. Pictures']",['Ben Affleck'],"['Ben Affleck', 'Jeremy Renner', 'Rebecca Hall', 'Jon Hamm', 'Blake Lively']",tt0840361,R,,Ben Affleck,880,Doug MacRay,Jeremy Renner,17604,"James ""Jem"" Coughlin",23808032
27578,The Expendables,7/8/10,80000000,103,"['Thriller', 'Adventure', 'Action']",8.0496,6.247,8076,"['Nimar Studios', 'Rogue Marble', 'Millennium Media', 'Lionsgate', 'Nu Image Entertainment']",['Sylvester Stallone'],"['Sylvester Stallone', 'Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Eric Roberts']",tt1320253,R,126125,Sylvester Stallone,16483,Barney Ross,Jason Statham,976,Lee Christmas,34825135
44264,True Grit,22/12/10,38000000,110,"['Drama', 'Adventure', 'Western']",6.7108,7.306,5560,"['Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance Media', 'Paramount Pictures']","['Joel Coen', 'Ethan Coen']","['Jeff Bridges', 'Hailee Steinfeld', 'Matt Damon', 'Josh Brolin', 'Barry Pepper']",tt1403865,,,Jeff Bridges,1229,Rooster Cogburn,Hailee Steinfeld,130640,Mattie Ross,24830443
38363,Fair Game,20/5/10,22000000,108,"['Drama', 'Thriller']",7.1809,6.456,825,"['River Road Entertainment', 'Participant', 'Fair Game Productions', 'Dillywood', 'Hypnotic', 'Weed Road Pictures', 'Zucker Productions', 'Image Nation Abu Dhabi']",['Doug Liman'],"['Naomi Watts', 'Sean Penn', 'Sam Shepard', 'Noah Emmerich', 'Michael Kelly']",tt0977855,PG-13,,Naomi Watts,3489,Valerie Plame,Sean Penn,2228,Joseph Wilson,651082
45269,The King's Speech,26/11/10,15000000,118,"['Drama', 'History']",6.6336,7.735,9077,"['The Weinstein Company', 'UK Film Council', 'Momentum Pictures', 'Aegis Film Fund', 'Molinare Investment', 'FilmNation Entertainment', 'See-Saw Films', 'Bedlam Productions']",['Tom Hooper'],"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Guy Pearce', 'Timothy Spall']",tt1504320,,,Colin Firth,5472,King George VI,Geoffrey Rush,118,Lionel Logue,355450
38745,Gulliver's Travels,23/12/10,112000000,85,"['Family', 'Comedy', 'Adventure', 'Fantasy']",7.4884,5.212,2478,"['Dune Entertainment', 'Davis Entertainment', 'Dune Entertainment III', '20th Century Fox']",['Rob Letterman'],"['Jack Black', 'Jason Segel', 'Emily Blunt', 'Amanda Peet', 'Billy Connolly']",tt1320261,PG,,Jack Black,70851,Lemuel Gulliver,Jason Segel,41088,Horatio,6307691
44683,Tinker Bell and the Great Fairy Rescue,29/7/10,0,76,"['Animation', 'Adventure', 'Family', 'Fantasy']",6.5541,6.757,984,"['DisneyToon Studios', 'Prana Animation Studios']",['Bradley Raymond'],"['Mae Whitman', 'Lauren Mote', 'Michael Sheen', 'Pamela Adlon', 'Lucy Liu']",tt1216515,G,315595,Mae Whitman,52404,Tinker Bell (voice),Lauren Mote,1371167,Lizzy Griffiths (voice),450013
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2/12/10,155000000,113,"['Adventure', 'Family', 'Fantasy']",8.3938,6.442,5769,"['Fox 2000 Pictures', 'Walden Media', 'C.S. Lewis Company']",['Michael Apted'],"['Georgie Henley', 'Skandar Keynes', 'Ben Barnes', 'Will Poulter', 'Anna Popplewell']",tt0980970,PG,420,Georgie Henley,5526,Lucy Pevensie,Skandar Keynes,5527,Edmund Pevensie,24005069
39514,RED,13/10/10,58000000,111,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",7.3028,6.703,6970,"['di Bonaventura Pictures', 'DC']",['Robert Schwentke'],"['Bruce Willis', 'John Malkovich', 'Morgan Freeman', 'Helen Mirren', 'Mary-Louise Parker']",tt1245526,PG-13,163902,Bruce Willis,62,Frank Moses,John Malkovich,6949,Marvin Boggs,21761408
33909,Wall Street: Money Never Sleeps,20/9/10,70000000,133,"['Drama', 'Crime']",6.3448,6.091,1620,"['Pressman Film', 'Dune Entertainment III', 'Dune Entertainment', '20th Century Fox']",['Oliver Stone'],"['Michael Douglas', 'Shia LaBeouf', 'Josh Brolin', 'Carey Mulligan', 'Frank Langella']",tt1027718,PG-13,52783,Michael Douglas,3392,Gordon Gekko,Shia LaBeouf,10959,Jacob Moore,19011188
43539,The Next Three Days,18/11/10,30000000,133,"['Romance', 'Drama', 'Thriller', 'Crime']",6.2269,7.082,2998,"['Hwy61', 'Lionsgate', 'Fidélité Films']",['Paul Haggis'],"['Russell Crowe', 'Elizabeth Banks', 'Brian Dennehy', 'RZA', 'Moran Atias']",tt1458175,PG-13,,Russell Crowe,934,John Brennan,Elizabeth Banks,9281,Lara,6542779
44027,"My Son, My Son, What Have Ye Done",8/7/10,2000000,91,"['Crime', 'Drama', 'Thriller']",5.8074,6.1,219,"['Absurda', 'Paper Street Films', 'Industrial Entertainment', 'IFC FIlms']",['Werner Herzog'],"['Michael Shannon', 'Willem Dafoe', 'Chloë Sevigny', 'Brad Dourif', 'Michael Peña']",tt1233219,R,,Michael Shannon,335,Brad McCullum,Willem Dafoe,5293,Detective Hank Havenhurst,67394
43347,Love & Other Drugs,22/11/10,30000000,112,"['Drama', 'Comedy', 'Romance']",8.9757,7.038,5438,"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Stuber Pictures', 'Bedford Falls Productions', 'Dune Entertainment']",['Edward Zwick'],"['Jake Gyllenhaal', 'Anne Hathaway', 'Oliver Platt', 'Hank Azaria', 'Josh Gad']",tt0758752,R,,Jake Gyllenhaal,131,Jamie Randall,Anne Hathaway,1813,Maggie Murdock,9739161
20504,The Book of Eli,14/1/10,80000000,118,"['Action', 'Thriller', 'Science Fiction']",6.9075,6.795,6460,"['Alcon Entertainment', 'Silver Pictures']","['Allen Hughes', 'Albert Hughes']","['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals']",tt1037705,R,,Denzel Washington,5292,Eli,Gary Oldman,64,Carnegie,32789494
10196,The Last Airbender,30/6/10,150000000,103,"['Action', 'Adventure', 'Fantasy']",6.5722,4.646,4146,"['Paramount Pictures', 'Nickelodeon Movies', 'Blinding Edge Pictures', 'The Kennedy/Marshall Company']",['M. Night Shyamalan'],"['Noah Ringer', 'Dev Patel', 'Nicola Peltz Beckham', 'Jackson Rathbone', 'Shaun Toub']",tt0938283,PG,,Noah Ringer,88816,Aang,Dev Patel,76788,Prince Zuko,40325019
24021,The Twilight Saga: Eclipse,23/6/10,68000000,124,"['Adventure', 'Fantasy', 'Drama', 'Romance']",7.1735,6.201,9074,"['Summit Entertainment', 'Temple Hill Entertainment', 'Imprint Entertainment', 'Maverick Films', 'Sunswept Entertainment']",['David Slade'],"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Bryce Dallas Howard', 'Dakota Fanning']",tt1325004,PG-13,33514,Kristen Stewart,37917,Bella Swan,Robert Pattinson,11288,Edward Cullen,64832191
35688,Why Did I Get Married Too?,2/4/10,20000000,121,"['Comedy', 'Romance']",4.9186,6.5,162,"['Lions Gate Films', 'Tyler Perry Studios']",['Tyler Perry'],"['Tyler Perry', 'Janet Jackson', 'Jill Scott', 'Sharon Leal', 'Malik Yoba']",tt1391137,PG-13,143588,Tyler Perry,80602,Terry,Janet Jackson,54421,Patricia,29289537
20662,Robin Hood,12/5/10,200000000,140,"['Action', 'Adventure', 'History']",8.1718,6.395,4862,"['Imagine Entertainment', 'Relativity Media', 'Scott Free Productions']",['Ridley Scott'],"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong']",tt0955308,PG-13,,Russell Crowe,934,Robin Longstride,Cate Blanchett,112,Marion Loxley,36063385
33107,And Soon the Darkness,25/2/10,0,91,"['Mystery', 'Thriller']",4.8352,5.24,396,"['Utópica Cine', 'Abandon Pictures', 'Anchor Bay Entertainment', 'Redrum Films', 'Sandbar Pictures', 'StudioCanal']",['Marcos Efron'],"['Amber Heard', 'Odette Annable', 'Karl Urban', 'César Vianco', 'Michel Noher']",tt1391034,R,,Amber Heard,55085,Stephanie,Odette Annable,51992,Ellie,53820
39452,Exit Through the Gift Shop,5/3/10,0,86,['Documentary'],5.7743,7.543,922,"['Oscilloscope', 'Paranoid Pictures', 'KEO Films']",['Banksy'],"['Rhys Ifans', 'Thierry Guetta', 'Banksy', 'Shepard Fairey', 'INVADER']",tt1587707,,,Rhys Ifans,7026,Narrator,Thierry Guetta,131830,Self,170756
22894,Legion,21/1/10,26000000,100,"['Action', 'Fantasy', 'Horror']",5.4628,5.9,2765,"['Screen Gems', 'Bold Films']",['Scott Stewart'],"['Paul Bettany', 'Dennis Quaid', 'Lucas Black', 'Kate Walsh', 'Tyrese Gibson']",tt1038686,R,,Paul Bettany,6162,Michael,Dennis Quaid,6065,Bob Hanson,17501625
39800,Life During Wartime,16/4/10,4500000,97,"['Comedy', 'Drama']",6.0245,5.901,142,['Werc Werk Works'],['Todd Solondz'],"['Shirley Henderson', 'Michael Kenneth Williams', 'Ally Sheedy', 'Paul Reubens', 'Allison Janney']",tt0808526,,979642,Shirley Henderson,1834,Joy Jordan,Michael Kenneth Williams,39390,Allen,30507
59490,Cave of Forgotten Dreams,3/11/10,0,90,['Documentary'],4.651,7.1,347,"['creative differences', 'History films', 'Werner Herzog Filmproduktion', 'ARTE']",['Werner Herzog'],"['Werner Herzog', 'Dominique Baffier', 'Jean Clottes', 'Jean-Michel Geneste', 'Michel Philippe']",tt1664894,G,,Werner Herzog,6818,Narrator (voice),Dominique Baffier,550704,Self,139101
